Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Chorrochó (BA);Município;290770;54,11;43,09;90,52;83,55;36,03
Cícero Dantas (BA);Município;290780;81,44;69,71;83,96;94,87;20,9
Cipó (BA);Município;290790;83,3;80,43;93,4;98,27;29
Coaraci (BA);Município;290800;90,97;82,34;99,04;96,76;28,58
Cocos (BA);Município;290810;61,48;68,49;90,76;88,26;18,63
Conceição da Feira (BA);Município;290820;88,34;88,35;98,67;99,12;30,57
Conceição do Almeida (BA);Município;290830;63,31;68,93;96,06;99,36;28,52
Conceição do Coité (BA);Município;290840;76,08;61,77;96,82;98,16;23,49
Conceição do Jacuípe (BA);Município;290850;87,92;74,48;94,67;99,84;24,57
Conde (BA);Município;290860;75,73;63,66;87,1;94,33;41,43
Condeúba (BA);Município;290870;73,92;64,77;98,81;92,6;15,13
Contendas do Sincorá (BA);Município;290880;66,92;73,15;84,56;95,1;21,15
Coração de Maria (BA);Município;290890;61,19;54,54;95,63;98,91;30,7
Cordeiros (BA);Município;290900;72,68;86,18;97,71;96,54;14,81
Coribe (BA);Município;290910;83,18;81,02;81,23;92,41;20,12
Coronel João Sá (BA);Município;290920;54,42;47,42;98,28;80,73;30,4
Correntina (BA);Município;290930;62,32;65,55;98,42;94,92;22,41
Cotegipe (BA);Município;290940;64,6;61,52;87,19;81,99;29,26
Cravolândia (BA);Município;290950;84,36;74,47;92,9;94,81;27,35
Crisópolis (BA);Município;290960;79,9;71,59;78,88;97,03;26,5
Cristópolis (BA);Município;290970;81,82;64,2;91,83;95,39;20,35
Cruz das Almas (BA);Município;290980;95,78;84,79;94,52;99,85;22,68
Curaçá (BA);Município;290990;66,85;61,35;94,83;90,28;35,04
Dário Meira (BA);Município;291000;82,9;60,18;98,6;87,23;36,13
Dias D'Ávila (BA);Município;291005;95,11;88,22;91,64;99,41;35,44
Dom Basílio (BA);Município;291010;61,02;61,51;100;97,96;17,57
Dom Macedo Costa (BA);Município;291020;78,54;85,26;97,36;99,15;21,18
Elísio Medrado (BA);Município;291030;82,56;85,91;94,85;98,8;20,71
Encruzilhada (BA);Município;291040;72,06;71,18;95,41;89,96;26,84
Entre Rios (BA);Município;291050;84,11;71,84;96,8;97,2;35,67
Érico Cardoso (BA);Município;290050;77,18;90,31;94,42;91,37;22,69
Esplanada (BA);Município;291060;88,77;74,38;91,88;95,36;35,98
Euclides da Cunha (BA);Município;291070;83,95;70,53;91,52;95,07;27,71
Eunápolis (BA);Município;291072;95,9;84,69;97,66;98,48;28,32
Fátima (BA);Município;291075;74,24;67,1;96,43;96,81;21,58
Feira da Mata (BA);Município;291077;66,42;67,18;87,8;80,71;22,51
Feira de Santana (BA);Município;291080;95,87;86,61;97,43;99,77;26,04
Filadélfia (BA);Município;291085;78,57;55,05;98,73;95,7;26,25
Firmino Alves (BA);Município;291090;71,79;84,15;98,24;96,47;29,83
Floresta Azul (BA);Município;291100;88,81;80,2;97,64;96,8;34,46
Formosa do Rio Preto (BA);Município;291110;73,58;69,88;92,41;90,12;31,69
Gandu (BA);Município;291120;88,01;71,74;90,73;98,35;32,76
Gavião (BA);Município;291125;72,62;56,91;99,57;80,25;22,79
Gentio do Ouro (BA);Município;291130;79,1;69,8;84,01;96,83;15,96
Glória (BA);Município;291140;61,35;60,46;98,22;98,35;31,58
Gongogi (BA);Município;291150;74,52;63,22;93,58;97,72;40,55
Governador Mangabeira (BA);Município;291160;88,15;56,2;96,56;99,68;30,73
Guajeru (BA);Município;291165;50,66;53,54;99,01;89,87;17,88
Guanambi (BA);Município;291170;86,59;86,47;96,25;97,44;19,86
Guaratinga (BA);Município;291180;83,4;63,5;97,1;87,05;27,29
Heliópolis (BA);Município;291185;87,07;76,2;96,97;93,78;26,91
Iaçu (BA);Município;291190;79,68;69,19;91,55;94,17;29,02
Ibiassucê (BA);Município;291200;90,56;85,51;98,36;92,27;11,3
Ibicaraí (BA);Município;291210;93,59;80,29;93,98;98,08;30,28
Ibicoara (BA);Município;291220;82,84;73,61;95,45;97,81;31,72
Ibicuí (BA);Município;291230;77,93;83,6;97,15;93,92;27,1
Ibipeba (BA);Município;291240;84,75;72,68;81,7;97,32;23,58
Ibipitanga (BA);Município;291250;64,48;52,82;97,71;83,52;18,81
Ibiquera (BA);Município;291260;53,14;50,55;96,93;78,39;28,31
Ibirapitanga (BA);Município;291270;79,88;60,62;94,54;91,8;40,71
Ibirapuã (BA);Município;291280;85,41;78,89;98,86;96,32;24,69
Ibirataia (BA);Município;291290;90,79;74,48;96,06;94,27;28,91
Ibitiara (BA);Município;291300;70,09;56,74;97,17;93,92;21,66
Ibititá (BA);Município;291310;93,84;79,59;94,21;98,74;22,64
Ibotirama (BA);Município;291320;82,87;87,09;96,59;98,2;27,97
Ichu (BA);Município;291330;69,71;75,74;94,6;97,19;15,78
Igaporã (BA);Município;291340;73,83;73,74;99,49;96,61;19,05
Igrapiúna (BA);Município;291345;66,46;50,42;95,06;78,39;40,41
Iguaí (BA);Município;291350;80,9;76,32;95,45;88,34;29,19
Ilhéus (BA);Município;291360;90,86;77,93;92,53;97,26;31,77
Inhambupe (BA);Município;291370;78,4;72,83;88,31;97,22;32,51
Ipecaetá (BA);Município;291380;61,55;41,84;77,26;95,12;33,77
Ipiaú (BA);Município;291390;93,49;85,35;97,28;99,05;29,75
Ipirá (BA);Município;291400;62,02;50,12;98,83;92,19;29,58
Ipupiara (BA);Município;291410;79,23;76,65;99,79;97,57;15,81
Irajuba (BA);Município;291420;63,61;34,56;95,79;97,83;22,7
Iramaia (BA);Município;291430;58,72;44,81;90,74;87,84;24,5
