Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Guabiju (RS);Município;430925;97,36;100;100;100;6,56
Guaíba (RS);Município;430930;98,95;97,74;99,62;99,83;18,32
Guaporé (RS);Município;430940;94,79;99,87;99,89;100;6,61
Guarani das Missões (RS);Município;430950;96,48;95,28;99,1;99,16;16,17
Harmonia (RS);Município;430955;98,59;98,71;100;99,77;6,74
Herval (RS);Município;430710;86,93;95,18;98,68;99,21;23,18
Herveiras (RS);Município;430957;89,74;83,21;96,32;99,38;15,72
Horizontina (RS);Município;430960;96,26;98,74;99,15;99,88;7,64
Hulha Negra (RS);Município;430965;85,15;85,83;94,56;99,93;30,19
Humaitá (RS);Município;430970;90,92;97,91;98,46;99,41;5,56
Ibarama (RS);Município;430975;93,66;93,95;98,7;99,26;10,46
Ibiaçá (RS);Município;430980;92,41;98,63;92,84;99,86;5,16
Ibiraiaras (RS);Município;430990;85,62;96,3;99,83;100;5,87
Ibirapuitã (RS);Município;430995;97,42;87,28;99;99,5;12,43
Ibirubá (RS);Município;431000;95,53;99,2;99,5;99,96;7,86
Igrejinha (RS);Município;431010;94,33;97,35;100;100;13,72
Ijuí (RS);Município;431020;97,57;97,82;99,15;99,61;12,91
Ilópolis (RS);Município;431030;93,89;98,63;99,34;100;10,35
Imbé (RS);Município;431033;96,51;98,91;99,69;99,8;19,94
Imigrante (RS);Município;431036;96,43;98,58;100;100;4,57
Independência (RS);Município;431040;87,82;97,51;93,63;99,76;9,47
Inhacorá (RS);Município;431041;98,02;95,84;97,79;99,68;20,21
Ipê (RS);Município;431043;89,8;97,09;99,71;99,9;5,61
Ipiranga do Sul (RS);Município;431046;73,15;99,49;100;100;4,61
Iraí (RS);Município;431050;83,76;88,99;98,7;97,77;21,71
Itaara (RS);Município;431053;94,95;96,67;99,16;99,77;18,8
Itacurubi (RS);Município;431055;96,06;87,25;100;96,78;20,8
Itapuca (RS);Município;431057;93,16;92,86;96,49;99,72;11,99
Itaqui (RS);Município;431060;94,86;95,89;97,59;99,69;24,99
Itati (RS);Município;431065;76,26;94,72;100;98,53;11,63
Itatiba do Sul (RS);Município;431070;87,43;92,53;94,9;99,3;10,79
Ivorá (RS);Município;431075;83,21;98,9;100;99,92;5,63
Ivoti (RS);Município;431080;95,92;99,82;100;100;8,98
Jaboticaba (RS);Município;431085;82,13;94,68;98,58;98,97;10,53
Jacuizinho (RS);Município;431087;88,6;85,47;98,45;98,01;12,92
Jacutinga (RS);Município;431090;78,75;98,74;94,48;99,62;12,07
Jaguarão (RS);Município;431100;98,72;98,18;99,68;99,56;20,34
Jaguari (RS);Município;431110;78,51;96,76;98,19;100;6,73
Jaquirana (RS);Município;431112;86,01;94,62;99,55;98,45;16,65
Jari (RS);Município;431113;90,26;84,44;98,92;98,46;10,71
Jóia (RS);Município;431115;82,67;95,83;100;99,14;19,22
Júlio de Castilhos (RS);Município;431120;95,73;96,46;97,81;99,5;19
Lagoa Bonita do Sul (RS);Município;431123;83,61;91,17;100;98,55;14,35
Lagoa dos Três Cantos (RS);Município;431127;98,38;98,76;99,25;99,4;3,36
Lagoão (RS);Município;431125;80,86;80,75;94,63;97,8;16,4
Lagoa Vermelha (RS);Município;431130;94,03;96,57;97,89;99,76;11,8
Lajeado (RS);Município;431140;90,43;99,52;99,92;99,92;10,73
Lajeado do Bugre (RS);Município;431142;96,51;88,19;87,84;97,36;23,04
Lavras do Sul (RS);Município;431150;95,41;96,23;94,84;99,17;20,89
Liberato Salzano (RS);Município;431160;89,38;90,58;98,51;99,09;12,37
Lindolfo Collor (RS);Município;431162;98;99,55;99,57;99,94;9,94
Linha Nova (RS);Município;431164;96,16;97,98;93,68;100;6,82
Maçambará (RS);Município;431171;85,96;96,75;81;99,35;21,71
Machadinho (RS);Município;431170;84,32;96,69;98,03;99,85;7,35
Mampituba (RS);Município;431173;86,28;94,29;100;99,5;16,53
Manoel Viana (RS);Município;431175;91,22;98,13;99,27;99,64;14,98
Maquiné (RS);Município;431177;85,19;98,03;100;98,86;11,47
Maratá (RS);Município;431179;98,81;99,3;98,48;100;3,89
Marau (RS);Município;431180;89,37;99,45;100;99,95;5,49
Marcelino Ramos (RS);Município;431190;94,14;97,8;98,5;100;11,32
Mariana Pimentel (RS);Município;431198;77,97;96,63;100;99,31;12,42
Mariano Moro (RS);Município;431200;72,43;98,93;96,4;100;4,86
Marques de Souza (RS);Município;431205;95,82;93,29;99,72;99,48;13,78
Mata (RS);Município;431210;81,83;93,44;98,41;99,69;9,62
Mato Castelhano (RS);Município;431213;64,18;98,48;99,61;100;7,92
Mato Leitão (RS);Município;431215;99,62;98,68;96,87;99,92;6,74
Mato Queimado (RS);Município;431217;100;92,18;97,71;99,4;7,13
Maximiliano de Almeida (RS);Município;431220;87,1;94,79;97,36;99,4;8,45
Minas do Leão (RS);Município;431225;99,55;99,26;99,4;99,79;18,81
Miraguaí (RS);Município;431230;89,67;89,28;94,37;98,9;16,03
Montauri (RS);Município;431235;98,72;99,82;97,03;100;1,81
Monte Alegre dos Campos (RS);Município;431237;57,79;87,29;92,62;98,35;12,98
Monte Belo do Sul (RS);Município;431238;96;99,42;96,43;100;4,22
Montenegro (RS);Município;431240;96,91;98,07;99,64;99,87;14,47
Mormaço (RS);Município;431242;96,93;93,73;100;98,92;17,59
Morrinhos do Sul (RS);Município;431244;88,24;99,34;99,83;99,89;8,73
Morro Redondo (RS);Município;431245;89,05;93,81;99,86;99,61;11,32
Morro Reuter (RS);Município;431247;86,41;99,27;99,65;100;5,66
Mostardas (RS);Município;431250;98,06;91,99;98,58;99,17;15,92
Muçum (RS);Município;431260;99,17;99,46;98,38;100;6,4
Muitos Capões (RS);Município;431261;75,05;97,59;96,09;100;9,99
Muliterno (RS);Município;431262;87,32;89,78;99,63;99,14;13,61
Não-Me-Toque (RS);Município;431265;97,86;99,35;100;99,97;8,56
Nicolau Vergueiro (RS);Município;431267;97,73;99,21;90,96;99,73;5,44
Nonoai (RS);Município;431270;96,01;88,24;97,05;99,45;21,4
Nova Alvorada (RS);Município;431275;91,03;97,93;100;99,49;8,79
Nova Araçá (RS);Município;431280;91,67;99,59;100;100;7,15
Nova Bassano (RS);Município;431290;97,59;99,11;98,28;100;5,32
Nova Boa Vista (RS);Município;431295;99,55;99,5;100;100;4,06
Nova Bréscia (RS);Município;431300;95,62;99,86;100;99,94;3,19
Nova Candelária (RS);Município;431301;99,89;99,14;98,68;100;1,87
Nova Esperança do Sul (RS);Município;431303;92,07;99,72;100;100;11,98
Nova Hartz (RS);Município;431306;86,89;95,4;100;100;12,55
Nova Pádua (RS);Município;431308;94,37;100;98,87;100;4,71
Nova Palma (RS);Município;431310;87,64;96,73;99,9;99,44;13,78
Nova Petrópolis (RS);Município;431320;95,35;98,33;99,37;99,97;8,21
Nova Prata (RS);Município;431330;89,23;99,17;99,86;100;9,14
Nova Ramada (RS);Município;431333;95,88;99,04;96,91;100;6,67
Nova Roma do Sul (RS);Município;431335;95,09;99,71;98,98;99,74;5,3
Nova Santa Rita (RS);Município;431337;96,56;93,92;98,71;99,86;19,88
Novo Barreiro (RS);Município;431349;96,81;97,15;95,66;99,45;4,39
Novo Cabrais (RS);Município;431339;92,43;92,11;99,26;99,85;12,68
Novo Hamburgo (RS);Município;431340;98,5;96,89;99,68;99,92;15,41
Novo Machado (RS);Município;431342;96,96;92,92;99,54;99,34;11,15
Novo Tiradentes (RS);Município;431344;99,58;94,88;98,34;99,44;7,2
Novo Xingu (RS);Município;431346;100;97,88;100;100;6,96
Osório (RS);Município;431350;94,92;97,8;99,76;99,99;15,28
Paim Filho (RS);Município;431360;95,45;98,91;99,64;99,93;4,66
Palmares do Sul (RS);Município;431365;98,25;98,68;98,87;99,61;13,57
Palmeira das Missões (RS);Município;431370;96,83;95,19;97,85;99,53;16,04
Palmitinho (RS);Município;431380;93,23;93,56;94,82;99,42;10,32
Panambi (RS);Município;431390;95,89;98,7;99,54;99,52;9,05
Pantano Grande (RS);Município;431395;98,16;96,4;98,33;99;19,94
Paraí (RS);Município;431400;95,48;99,41;99,61;100;7,82
Paraíso do Sul (RS);Município;431402;89,97;89,12;94,92;99,64;13,71
Pareci Novo (RS);Município;431403;99,49;99,85;100;100;7,06
Parobé (RS);Município;431405;95,59;96,87;99,84;99,74;16,31
Passa Sete (RS);Município;431406;76,24;78,28;83,88;98,42;12,48
Passo do Sobrado (RS);Município;431407;89,51;90,2;100;99,88;9,4
Passo Fundo (RS);Município;431410;98,74;98,03;99,46;99,73;15,35
Paulo Bento (RS);Município;431413;84,98;98,45;100;100;8,65
Paverama (RS);Município;431415;97,08;95,55;98,67;99,87;10,22
Pedras Altas (RS);Município;431417;80,47;88,6;94,97;99,54;17,85
Pedro Osório (RS);Município;431420;95,1;98,27;99,06;99,89;17,03
Pejuçara (RS);Município;431430;81,44;99,95;99,58;99,92;6,28
Pelotas (RS);Município;431440;98,11;97,32;99,18;99,7;20,41
Picada Café (RS);Município;431442;94,59;99,06;99,48;99,67;4,05
Pinhal (RS);Município;431445;98,04;98,22;99,43;100;7,26
Pinhal da Serra (RS);Município;431446;92,21;93,19;100;99,7;6,34
Pinhal Grande (RS);Município;431447;94,76;93,07;96,27;98,95;13,42
Pinheirinho do Vale (RS);Município;431449;89,32;95,24;95,51;99,81;13,14
Pinheiro Machado (RS);Município;431450;96,38;97,26;99,72;99,58;18,56
Pirapó (RS);Município;431455;98,65;94,78;100;98,53;13,33
Piratini (RS);Município;431460;85,56;92,33;99,68;99,69;16,99
Planalto (RS);Município;431470;93,8;90,38;95,11;98,58;15,55
Poço das Antas (RS);Município;431475;97,97;98,42;100;100;7,75
Pontão (RS);Município;431477;96,55;70,02;97,69;99,47;8,24
Ponte Preta (RS);Município;431478;95,42;100;89,08;100;7,87
Portão (RS);Município;431480;97,11;91,12;99,91;99,72;15,33
Porto Alegre (RS);Município;431490;99,55;97,39;99,64;99,91;19
Porto Lucena (RS);Município;431500;98,53;93,22;98,42;99,2;7,84
Porto Mauá (RS);Município;431505;99,04;66,77;100;100;8,35
Porto Vera Cruz (RS);Município;431507;99,41;95,45;100;99,22;8,87
Porto Xavier (RS);Município;431510;96,15;93,07;97,01;99,37;13,03
Pouso Novo (RS);Município;431513;92,13;94,52;97,73;98,95;11,21
Presidente Lucena (RS);Município;431514;98,1;97,98;100;100;6,99
Progresso (RS);Município;431515;92,14;93,24;97,35;99,74;12,98
Protásio Alves (RS);Município;431517;85,96;98,57;100;98,81;7,47
Putinga (RS);Município;431520;91,94;97,55;98,74;99,67;9,86
Quaraí (RS);Município;431530;97,04;96,45;99,72;99,66;28,21
Quatro Irmãos (RS);Município;431531;83,36;97,76;96,98;99,05;18,98
Quevedos (RS);Município;431532;85,68;83,27;100;98,46;15,28
Quinze de Novembro (RS);Município;431535;87,94;99,13;98,56;100;6,69
Redentora (RS);Município;431540;84,69;55,27;87,01;93,33;50,43
Relvado (RS);Município;431545;96,53;99,14;96,66;100;5,26
Restinga Seca (RS);Município;431550;95,52;94,29;99,58;100;14,54
Rio dos Índios (RS);Município;431555;84,44;85,59;96,03;98,74;18,12
Rio Grande (RS);Município;431560;97,02;97,16;99,51;99,72;22,8
Rio Pardo (RS);Município;431570;91,73;95,45;99,29;99,38;15,01
Riozinho (RS);Município;431575;86,67;96,56;100;99,7;11,73
Roca Sales (RS);Município;431580;89,17;98,89;99,51;99,85;8,76
Rodeio Bonito (RS);Município;431590;93,64;91,65;94,36;99,42;8,77
Rolador (RS);Município;431595;97,7;94,7;83,04;99,84;8,06
Rolante (RS);Município;431600;92,95;96,38;99,47;99,84;11,93
Ronda Alta (RS);Município;431610;96,49;91,47;95,15;99,95;20,09
Rondinha (RS);Município;431620;98,98;99,02;100;100;8,87
Roque Gonzales (RS);Município;431630;99,5;94,65;99,82;99,07;12,46
Rosário do Sul (RS);Município;431640;94,32;94,86;97,95;99,53;20
Sagrada Família (RS);Município;431642;97,77;95,21;90,74;99,71;7,84
Saldanha Marinho (RS);Município;431643;94,03;99,14;100;99,89;7,12
Salto do Jacuí (RS);Município;431645;94,34;95,31;95,2;98,95;18,11
Salvador das Missões (RS);Município;431647;99,78;99,5;98,28;99,5;3,38
Salvador do Sul (RS);Município;431650;97,9;97,45;100;100;5,59
Sananduva (RS);Município;431660;94,71;99,18;98,8;99,94;5,22
Santa Bárbara do Sul (RS);Município;431670;93,66;99,69;99,17;99,57;10,45
Santa Cecília do Sul (RS);Município;431673;74,06;97,06;99,03;99,12;6,28
Santa Clara do Sul (RS);Município;431675;99,37;98,11;99,71;100;6,76
Santa Cruz do Sul (RS);Município;431680;97,41;97,11;99,64;99,66;11,48
Santa Margarida do Sul (RS);Município;431697;81,73;94,6;96,47;97,3;16,29
Santa Maria (RS);Município;431690;97,52;96,95;98,86;99,62;15,05
Santa Maria do Herval (RS);Município;431695;84,95;95,25;96,44;99,67;2,02
Santana da Boa Vista (RS);Município;431700;81,24;90,56;99,82;98,93;15,81
Sant'Ana do Livramento (RS);Município;431710;97,13;93,01;98,7;99,51;24,01
Santa Rosa (RS);Município;431720;96,23;99,22;99,6;99,96;10,27
Santa Tereza (RS);Município;431725;91,55;96,23;100;100;6,48
Santa Vitória do Palmar (RS);Município;431730;97,26;93,56;99,28;99,26;19
Santiago (RS);Município;431740;97,66;98,51;99,78;99,71;9,02
Santo Ângelo (RS);Município;431750;97,75;97,71;98,19;99,85;13,7
Santo Antônio da Patrulha (RS);Município;431760;89,03;92,43;98,71;99,59;12,84
Santo Antônio das Missões (RS);Município;431770;97,64;87,65;94,49;98,4;15,91
Santo Antônio do Palma (RS);Município;431755;96,34;98,77;99,74;99,53;6,66
Santo Antônio do Planalto (RS);Município;431775;98,41;98,31;99,84;100;8,66
Santo Augusto (RS);Município;431780;96,66;98,48;98,9;99,73;10,15
Santo Cristo (RS);Município;431790;96,5;98,79;99,67;100;6,66
Santo Expedito do Sul (RS);Município;431795;94,03;94,77;92,31;100;4,58
São Borja (RS);Município;431800;95,91;93,78;98,92;99,08;21,17
São Domingos do Sul (RS);Município;431805;97,36;99,26;99,73;100;4,03
São Francisco de Assis (RS);Município;431810;89,57;95,75;97,85;99,56;12,87
São Francisco de Paula (RS);Município;431820;91,13;93,6;100;99,32;14,83
São Gabriel (RS);Município;431830;96,93;95,53;99,35;98,39;19,62
São Jerônimo (RS);Município;431840;92,71;93;97,85;99,37;18,83
São João da Urtiga (RS);Município;431842;90;97,64;98,41;99,95;7,54
São João do Polêsine (RS);Município;431843;68,65;96,49;100;99,59;12,13
São Jorge (RS);Município;431844;95,48;99,82;100;100;4,33
São José das Missões (RS);Município;431845;95,79;95,15;87,38;99,54;11,63
São José do Herval (RS);Município;431846;83,92;92,89;98,19;99,33;23,38
São José do Hortêncio (RS);Município;431848;99,19;99,61;99,62;100;6,85
São José do Inhacorá (RS);Município;431849;99,73;99,06;99,46;99,92;10,38
São José do Norte (RS);Município;431850;94,22;87,67;99,47;99,6;23,28
São José do Ouro (RS);Município;431860;75,73;99,45;99,24;99,81;6,6
São José dos Ausentes (RS);Município;431862;73,97;97,6;92,03;98,93;9,3
São José do Sul (RS);Município;431861;96,85;99,09;99,29;100;4,77
São Leopoldo (RS);Município;431870;98,96;97,37;99,67;99,91;18,6
São Lourenço do Sul (RS);Município;431880;90,68;92,28;98,45;99,07;17,82
São Luiz Gonzaga (RS);Município;431890;98,09;97,77;96,84;99,77;13,9
São Marcos (RS);Município;431900;90,12;99,23;99,89;100;6,22
São Martinho (RS);Município;431910;94,46;98,03;99,58;99,7;6,54
São Martinho da Serra (RS);Município;431912;73,73;93,89;100;99,01;8,39
São Miguel das Missões (RS);Município;431915;79,52;93,09;96,06;98,75;17,99
São Nicolau (RS);Município;431920;97,81;95,31;92,4;98,89;18,76
São Paulo das Missões (RS);Município;431930;98,97;95,65;99,75;99,61;10,36
São Pedro da Serra (RS);Município;431935;95,26;99,14;99,46;100;8,29
São Pedro das Missões (RS);Município;431936;92,47;96,42;97,38;99,57;15,36
São Pedro do Butiá (RS);Município;431937;99,37;99,31;98,74;100;0,72
São Pedro do Sul (RS);Município;431940;90,4;95,9;98,92;99,77;11,72
São Sebastião do Caí (RS);Município;431950;98,62;98,31;98,54;99,77;15,45
São Sepé (RS);Município;431960;90,28;94,07;98,43;99,31;16,07
São Valentim (RS);Município;431970;86,67;91,8;95,98;99,22;13,2
São Valentim do Sul (RS);Município;431971;93,65;99,58;100;100;5,92
São Valério do Sul (RS);Município;431973;98,64;60,39;98,6;98,07;38,43
São Vendelino (RS);Município;431975;98,58;99,5;99,19;100;5,5
São Vicente do Sul (RS);Município;431980;87,68;97,47;95,98;99,95;14,61
Sapiranga (RS);Município;431990;99,01;96,33;99,75;99,73;15,58
Sapucaia do Sul (RS);Município;432000;98,81;97,83;99,49;99,8;19,7
Sarandi (RS);Município;432010;95,04;98,59;99,74;99,36;11,71
Seberi (RS);Município;432020;92,11;95,48;95,31;99,86;10,74
Sede Nova (RS);Município;432023;95,01;97,29;98,9;97,62;10,15
Segredo (RS);Município;432026;88,21;91,19;93,49;99,88;12,16
Selbach (RS);Município;432030;91,86;99,34;99,85;100;4,58
Senador Salgado Filho (RS);Município;432032;98,52;96,72;89,37;100;8,41
Sentinela do Sul (RS);Município;432035;88,66;96,02;99,77;99,93;15,33
Serafina Corrêa (RS);Município;432040;93,04;99,71;99,21;100;8,6
Sério (RS);Município;432045;91,62;93,67;98,28;99,86;11,28
Sertão (RS);Município;432050;88,38;97,78;97,77;100;6,38
Sertão Santana (RS);Município;432055;80,42;96,92;99,41;99,57;14,25
Sete de Setembro (RS);Município;432057;97,72;93,53;100;98,97;11,31
Severiano de Almeida (RS);Município;432060;73,71;83,02;96,26;99,78;4,42
Silveira Martins (RS);Município;432065;86,35;95,06;100;99,57;13,94
Sinimbu (RS);Município;432067;83,6;82,59;100;99,35;14,57
Sobradinho (RS);Município;432070;96,8;97,09;99,88;99,08;13,54
Soledade (RS);Município;432080;95,06;94,22;97,59;98,94;15,13
Tabaí (RS);Município;432085;88,93;95,14;100;99,35;14,92
Tapejara (RS);Município;432090;95,81;99,5;99,2;99,85;9,78
Tapera (RS);Município;432100;97,19;98,24;99,13;99,86;9,3
Tapes (RS);Município;432110;98,48;97,45;99,62;99,79;19,47
Taquara (RS);Município;432120;96,65;95,68;99,38;99,63;15,9
Taquari (RS);Município;432130;96,57;96,72;99,33;100;12,98
Taquaruçu do Sul (RS);Município;432132;94,75;97,05;93,22;99,91;14,86
Tavares (RS);Município;432135;96,13;94,46;96,94;99,12;16,32
Tenente Portela (RS);Município;432140;96,22;79,98;94,46;98,77;22,28
Terra de Areia (RS);Município;432143;94,96;95,29;99,62;100;15
Teutônia (RS);Município;432145;99,03;99,61;99,98;100;7,31
Tio Hugo (RS);Município;432146;93,53;99,2;97,4;100;13,07
Tiradentes do Sul (RS);Município;432147;86,95;84,24;95,86;98,7;11,59
Toropi (RS);Município;432149;87,45;93,34;100;98,65;11,34
Torres (RS);Município;432150;98,68;95,84;99,88;99,76;13,11
Tramandaí (RS);Município;432160;98,95;94,69;99,28;99,49;24,64
Travesseiro (RS);Município;432162;98,19;99,64;99,68;99,62;5,02
Três Arroios (RS);Município;432163;85,74;99,62;99,13;100;0,65
Três Cachoeiras (RS);Município;432166;87,13;97,11;98,02;100;9,76
Três Coroas (RS);Município;432170;87,75;98,3;99,55;99,5;14,54
Três de Maio (RS);Município;432180;93,54;97,5;98,73;99,72;7,2
Três Forquilhas (RS);Município;432183;80,61;98,93;98,15;99,8;7,91
Três Palmeiras (RS);Município;432185;97,82;92,95;98,75;99,47;17,7
Três Passos (RS);Município;432190;92,46;97,39;98,6;99,96;8,46
Trindade do Sul (RS);Município;432195;96,62;92,17;97,9;98,57;14,01
Triunfo (RS);Município;432200;89,15;94,4;98,84;99,72;13,73
Tucunduva (RS);Município;432210;96,6;99,39;99,81;99,89;6,96
Tunas (RS);Município;432215;83,77;81,56;82,44;99,35;14,36
Tupanci do Sul (RS);Município;432218;85,05;95,88;100;99,82;5,27
Tupanciretã (RS);Município;432220;92,59;95,97;98,49;99,14;16,18
Tupandi (RS);Município;432225;96,72;99,14;99,2;100;6,31
Tuparendi (RS);Município;432230;96,12;98,14;98,7;99,63;6,85
Turuçu (RS);Município;432232;85,38;92,18;98,43;99,74;20,11
Ubiretama (RS);Município;432234;98,9;96,23;83,33;99,45;6,69
União da Serra (RS);Município;432235;87,12;99,59;97,6;99,85;1,69
Unistalda (RS);Município;432237;73,92;85,18;95,33;99,08;14,18
Uruguaiana (RS);Município;432240;98,25;95,9;98,9;99,22;30,52
Vacaria (RS);Município;432250;96,95;97,01;99,7;99,72;14,5
Vale do Sol (RS);Município;432253;87,12;93,03;100;99,42;10,35
Vale Real (RS);Município;432254;92,42;99,09;100;99,92;6,09
Vale Verde (RS);Município;432252;69,42;94,16;95,15;99,53;6,1
Vanini (RS);Município;432255;99,69;100;100;100;5,05
Venâncio Aires (RS);Município;432260;92,67;96,05;99,31;99,75;9,27
Vera Cruz (RS);Município;432270;95,33;96,38;99,2;99,7;13
Veranópolis (RS);Município;432280;93,73;98,97;99,82;99,95;4,48
Vespasiano Correa (RS);Município;432285;97,43;99,79;100;100;8,68
Viadutos (RS);Município;432290;91,75;95,6;98,66;99,81;11,24
Viamão (RS);Município;432300;98,08;94,29;99,16;99,8;25,42
Vicente Dutra (RS);Município;432310;94,18;83,97;91,17;98,95;23,76
Victor Graeff (RS);Município;432320;91,55;99,78;98,78;100;8,08
Vila Flores (RS);Município;432330;91,61;98,5;100;99,93;8,14
Vila Lângaro (RS);Município;432335;94,7;99,47;100;99,91;5,47
Vila Maria (RS);Município;432340;97,84;100;100;100;3,71
Vila Nova do Sul (RS);Município;432345;84,3;97,03;99,04;99,81;11,28
Vista Alegre (RS);Município;432350;82,56;94,11;99,44;98,86;7,33
Vista Alegre do Prata (RS);Município;432360;94,7;99,02;95,42;99,86;6,39
Vista Gaúcha (RS);Município;432370;92,61;95,1;99,39;99,36;8,12
Vitória das Missões (RS);Município;432375;96,05;96,81;93,2;99,9;10,84
Westfalia (RS);Município;432377;94,23;98,96;99,18;99,92;4
Xangri-Lá (RS);Município;432380;98,03;97,93;99,57;99,74;21,12
Abdon Batista (SC);Município;420005;91,73;74,26;100;100;13,95
Abelardo Luz (SC);Município;420010;91,32;92,93;95,55;99,18;21,54
Agrolândia (SC);Município;420020;93,11;98,51;99,62;100;10,11
Agronômica (SC);Município;420030;88,94;99;97,88;100;15,19
Água Doce (SC);Município;420040;88,88;97,63;99,85;99,29;15,57
Águas de Chapecó (SC);Município;420050;90,86;96,06;96,24;99,5;14,21
Águas Frias (SC);Município;420055;88,67;95,2;98,18;99,28;7,56
Águas Mornas (SC);Município;420060;58,93;94,44;99,79;99,95;5,08
Alfredo Wagner (SC);Município;420070;66,68;88,79;98,56;99,96;9,45
Alto Bela Vista (SC);Município;420075;89,53;98,7;100;99,8;11,15
Anchieta (SC);Município;420080;92,97;97,58;100;99,74;18,07
Angelina (SC);Município;420090;69,37;74,85;100;99,61;8,4
Anita Garibaldi (SC);Município;420100;84,57;95,11;98,67;99,67;10,33
Anitápolis (SC);Município;420110;81,12;99,01;100;99,61;8,06
Antônio Carlos (SC);Município;420120;71,49;97,65;100;100;6,42
Apiúna (SC);Município;420125;78,17;97,14;97,8;99,89;11,01
Arabutã (SC);Município;420127;78,79;95,44;99,08;99,9;7,21
Araquari (SC);Município;420130;96,64;95,1;98,01;99,5;25,7
Araranguá (SC);Município;420140;97,1;93,95;99,57;99,97;12,42
Armazém (SC);Município;420150;82,27;99,34;99,03;100;9,96
Arroio Trinta (SC);Município;420160;83,27;99,7;99,89;99,93;4,16
Arvoredo (SC);Município;420165;79,17;95,89;100;99,92;14,43
Ascurra (SC);Município;420170;95,04;99,64;99,56;100;10,17
Atalanta (SC);Município;420180;90,91;98,57;98,83;100;5,42
Aurora (SC);Município;420190;72,13;99,05;98,66;99,91;11,21
Balneário Arroio do Silva (SC);Município;420195;99,61;96,76;99,9;99,94;15,35
Balneário Barra do Sul (SC);Município;420205;98,93;99,14;99,61;99,53;13,49
Balneário Camboriú (SC);Município;420200;99,03;99,04;99,94;100;14,8
Balneário Gaivota (SC);Município;420207;98,65;98,05;99,31;100;11,34
Balneário Piçarras (SC);Município;421280;99;95,14;99,35;99,79;17,69
Bandeirante (SC);Município;420208;90,43;95,19;89,33;99,78;20,56
Barra Bonita (SC);Município;420209;93,93;94,56;100;100;12,26
Barra Velha (SC);Município;420210;98,63;89,33;98,8;99,67;18,24
Bela Vista do Toldo (SC);Município;420213;96,55;85,58;82,64;99,79;18,85
Belmonte (SC);Município;420215;89,38;98,47;93,77;100;23,13
Benedito Novo (SC);Município;420220;82,42;98,83;97,78;100;9,68
Biguaçu (SC);Município;420230;85,61;98,41;99,57;99,68;16,81
Blumenau (SC);Município;420240;97,89;96,83;99,88;99,97;11,6
Bocaina do Sul (SC);Município;420243;70,54;79,45;97,32;97,74;7,73
Bombinhas (SC);Município;420245;93,26;99,45;100;99,86;14,67
Bom Jardim da Serra (SC);Município;420250;79,2;97,75;99,42;99,93;8,65
Bom Jesus (SC);Município;420253;94,13;80,29;99,29;99,64;14,1
Bom Jesus do Oeste (SC);Município;420257;95,68;99,44;100;100;6,07
Bom Retiro (SC);Município;420260;90,47;97,85;97,21;99,07;13,19
Botuverá (SC);Município;420270;82,96;99,67;100;100;7,69
Braço do Norte (SC);Município;420280;94,72;95,89;98,72;100;8,81
Braço do Trombudo (SC);Município;420285;94,91;99,08;100;100;8
Brunópolis (SC);Município;420287;80,11;89,6;98,89;98,8;9,49
Brusque (SC);Município;420290;96,33;98,53;99,66;99,92;11,54
Caçador (SC);Município;420300;95,77;96,76;99,42;99,69;17,64
Caibi (SC);Município;420310;82,92;98,76;96,07;99,74;8,34
Calmon (SC);Município;420315;89,64;86,94;99,44;99,05;32,08
Camboriú (SC);Município;420320;97,15;93,3;99,86;100;26,21
Campo Alegre (SC);Município;420330;90,15;97,77;99,51;99,95;15,99
Campo Belo do Sul (SC);Município;420340;89,37;91,76;99,73;97,61;12,49
Campo Erê (SC);Município;420350;93,27;89,59;95,6;98,42;16,57
Campos Novos (SC);Município;420360;95,59;96,29;99,36;99,92;15,06
Canelinha (SC);Município;420370;89,19;99,52;98,43;100;18,42
Canoinhas (SC);Município;420380;96,01;94,58;98,81;99,37;15,61
Capão Alto (SC);Município;420325;73,38;87,07;98,61;99,78;12,96
Capinzal (SC);Município;420390;94,93;98,99;99,77;99,98;8,05
Capivari de Baixo (SC);Município;420395;97,86;98,21;99,81;100;14,08
Catanduvas (SC);Município;420400;96,75;95,51;99,04;99,58;16,93
Caxambu do Sul (SC);Município;420410;82,22;94,58;99,21;98,44;15,86
Celso Ramos (SC);Município;420415;90,49;98,69;100;99,77;11,23
Cerro Negro (SC);Município;420417;82,64;76,14;97,82;100;7,95
Chapadão do Lageado (SC);Município;420419;69,62;98,55;96,37;100;11,07
Chapecó (SC);Município;420420;92,46;97,86;99,65;99,75;11,67
Cocal do Sul (SC);Município;420425;98,49;97,94;99,82;100;9,36
Concórdia (SC);Município;420430;95,97;99,06;99,72;99,72;7,65
Cordilheira Alta (SC);Município;420435;59,21;99,01;85,8;100;9,05
Coronel Freitas (SC);Município;420440;92,68;94,37;97,88;99,62;9,55
Coronel Martins (SC);Município;420445;79,27;94,3;99,14;98,33;10
Correia Pinto (SC);Município;420455;94,66;95,73;98,72;99,55;13,1
Corupá (SC);Município;420450;91,85;94,06;99,12;99,9;9,88
Criciúma (SC);Município;420460;97,84;98,2;99,56;99,98;11,49
